,layer_n,rep,story1,story2,story3,story_merged,condition
435,2,33,"While people dying from cancer and heart disease is common in today's world, it wasn't so common long ago. This was mainly due to the fact that people didn't live long enough lives to develop these death sentences. However, when pencillin was discovered in 1928, things started to change for the better and people were able to live longer lives. Now though, antibiotics have been overused and antibiotic resistance is taking over, which is causing people to once again die of infections.",The article is about cancer treatment . It was started in the foreign country. in this injuries most of the people  died. for this they found a antibiotics to cure the people. The antibiotics was first started by the Alexander Fleming that is the  Pencilin. That drug was still used now a days  to fight the Bacterial  infections.,"For hundreds of years, we didn't die due to old age diseases like cancer but more often due to infections following injuries. This changed when Penicillin was discovered in the 1920s. While it's saved many lives, we've overused it. Drug companies no longer want to continually develop new drugs to adjust to the changes the bacteria make, which leads to ""superbugs."" These combine for a rise again in deaths due to infection, which will reach 10 million people per year by 2050. To combat this, we should quit using antibiotics unless we're absolutely sure they're necessary.","Many people didn't used to die of cancer of heart disease because they didn't live long enough to develop these conditions. With the discovery of penicillin, people began to live longer as they were previously most likely to die of infection. As a result of this discovery people started living longer. However, drug makers didn't want to continue to develop more targeted antibiotics and as a result many people now have antibiotic resistance to infections. As a result, people should only take antibiotics when absolutely necessary. ",Multiple-pathway
436,2,33,"While people dying from cancer and heart disease is common in today's world, it wasn't so common long ago. This was mainly due to the fact that people didn't live long enough lives to develop these death sentences. However, when pencillin was discovered in 1928, things started to change for the better and people were able to live longer lives. Now though, antibiotics have been overused and antibiotic resistance is taking over, which is causing people to once again die of infections.",The article is about cancer treatment . It was started in the foreign country. in this injuries most of the people  died. for this they found a antibiotics to cure the people. The antibiotics was first started by the Alexander Fleming that is the  Pencilin. That drug was still used now a days  to fight the Bacterial  infections.,"For hundreds of years, we didn't die due to old age diseases like cancer but more often due to infections following injuries. This changed when Penicillin was discovered in the 1920s. While it's saved many lives, we've overused it. Drug companies no longer want to continually develop new drugs to adjust to the changes the bacteria make, which leads to ""superbugs."" These combine for a rise again in deaths due to infection, which will reach 10 million people per year by 2050. To combat this, we should quit using antibiotics unless we're absolutely sure they're necessary.","Cancer is a disease that is relatively new to human beings and has come about due to the fact that people are simply living long enough to incur cancer. Increased longevity is the result of medications such as penicillin which has helped people to survive deadly infections that once killed many people. Due to the misuse and overuse of penicillin, people are now immune and superbugs have been the result which are challenging to fight off. ",Multiple-pathway
437,2,33,"While people dying from cancer and heart disease is common in today's world, it wasn't so common long ago. This was mainly due to the fact that people didn't live long enough lives to develop these death sentences. However, when pencillin was discovered in 1928, things started to change for the better and people were able to live longer lives. Now though, antibiotics have been overused and antibiotic resistance is taking over, which is causing people to once again die of infections.",The article is about cancer treatment . It was started in the foreign country. in this injuries most of the people  died. for this they found a antibiotics to cure the people. The antibiotics was first started by the Alexander Fleming that is the  Pencilin. That drug was still used now a days  to fight the Bacterial  infections.,"For hundreds of years, we didn't die due to old age diseases like cancer but more often due to infections following injuries. This changed when Penicillin was discovered in the 1920s. While it's saved many lives, we've overused it. Drug companies no longer want to continually develop new drugs to adjust to the changes the bacteria make, which leads to ""superbugs."" These combine for a rise again in deaths due to infection, which will reach 10 million people per year by 2050. To combat this, we should quit using antibiotics unless we're absolutely sure they're necessary.","Diseases such as Cancer has been rampant throughout history and have been the cause of many deaths.  It wasn't until the discovery of Penicillin when it was used as a treatment for these diseases.  Overtime, the over usage of the antibiotics, our bodies have grown accustomed to it, it isn't as effective as it once was.  Because of this, these diseases are coming back.",Multiple-pathway
438,3,33,"Many people didn't used to die of cancer of heart disease because they didn't live long enough to develop these conditions. With the discovery of penicillin, people began to live longer as they were previously most likely to die of infection. As a result of this discovery people started living longer. However, drug makers didn't want to continue to develop more targeted antibiotics and as a result many people now have antibiotic resistance to infections. As a result, people should only take antibiotics when absolutely necessary. ","Cancer is a disease that is relatively new to human beings and has come about due to the fact that people are simply living long enough to incur cancer. Increased longevity is the result of medications such as penicillin which has helped people to survive deadly infections that once killed many people. Due to the misuse and overuse of penicillin, people are now immune and superbugs have been the result which are challenging to fight off. ","Diseases such as Cancer has been rampant throughout history and have been the cause of many deaths.  It wasn't until the discovery of Penicillin when it was used as a treatment for these diseases.  Overtime, the over usage of the antibiotics, our bodies have grown accustomed to it, it isn't as effective as it once was.  Because of this, these diseases are coming back.","Common diseases such as cancer and heart disease are a relatively new development in human beings. People used to die at younger ages due to infection rates which have been significantly lowered due to the introduction of modern antibiotics, such as penicillin. Since antibiotics were introduced, however, it has increased the lifespan of the typical person, thus allowing the overall population to live long enough to develop issues related to age such as heart disease and cancer. However, with the overuse of antibiotics, infectious bacteria have become more and more immune to the antibiotics available today, creating so-called ""super bugs"" that are antibiotic-resistant and hard to effectively treat. Ultimately these infections may reduce the overall population lifespan again as the antibiotics we have invented are less and less effective and there is a resurgence of historical diseases that were once remedied by antibiotics.",Multiple-pathway
439,3,33,"Many people didn't used to die of cancer of heart disease because they didn't live long enough to develop these conditions. With the discovery of penicillin, people began to live longer as they were previously most likely to die of infection. As a result of this discovery people started living longer. However, drug makers didn't want to continue to develop more targeted antibiotics and as a result many people now have antibiotic resistance to infections. As a result, people should only take antibiotics when absolutely necessary. ","Cancer is a disease that is relatively new to human beings and has come about due to the fact that people are simply living long enough to incur cancer. Increased longevity is the result of medications such as penicillin which has helped people to survive deadly infections that once killed many people. Due to the misuse and overuse of penicillin, people are now immune and superbugs have been the result which are challenging to fight off. ","Diseases such as Cancer has been rampant throughout history and have been the cause of many deaths.  It wasn't until the discovery of Penicillin when it was used as a treatment for these diseases.  Overtime, the over usage of the antibiotics, our bodies have grown accustomed to it, it isn't as effective as it once was.  Because of this, these diseases are coming back.","Cancer is a relatively new phenomenon in human history. In the past, people did not live long enough for it to be a factor. Antibiotic resistance due to over reliance on medications like penicillin has resulted in the rise of drug resistant bacteria.",Multiple-pathway
440,3,33,"Many people didn't used to die of cancer of heart disease because they didn't live long enough to develop these conditions. With the discovery of penicillin, people began to live longer as they were previously most likely to die of infection. As a result of this discovery people started living longer. However, drug makers didn't want to continue to develop more targeted antibiotics and as a result many people now have antibiotic resistance to infections. As a result, people should only take antibiotics when absolutely necessary. ","Cancer is a disease that is relatively new to human beings and has come about due to the fact that people are simply living long enough to incur cancer. Increased longevity is the result of medications such as penicillin which has helped people to survive deadly infections that once killed many people. Due to the misuse and overuse of penicillin, people are now immune and superbugs have been the result which are challenging to fight off. ","Diseases such as Cancer has been rampant throughout history and have been the cause of many deaths.  It wasn't until the discovery of Penicillin when it was used as a treatment for these diseases.  Overtime, the over usage of the antibiotics, our bodies have grown accustomed to it, it isn't as effective as it once was.  Because of this, these diseases are coming back.","Cancer is widely thought of as a disease caused by our newfound longevity. With the discovery of penicillin and antibiotics, people have a much longer lifespan.  The problem is that new super bugs and diseases are becoming immune to these antibiotics and penicillin.  So experts believe we should only be using antibiotics when absolutely needed.  ",Multiple-pathway
441,4,33,"Cancer is widely thought of as a disease caused by our newfound longevity. With the discovery of penicillin and antibiotics, people have a much longer lifespan.  The problem is that new super bugs and diseases are becoming immune to these antibiotics and penicillin.  So experts believe we should only be using antibiotics when absolutely needed.  ","Common diseases such as cancer and heart disease are a relatively new development in human beings. People used to die at younger ages due to infection rates which have been significantly lowered due to the introduction of modern antibiotics, such as penicillin. Since antibiotics were introduced, however, it has increased the lifespan of the typical person, thus allowing the overall population to live long enough to develop issues related to age such as heart disease and cancer. However, with the overuse of antibiotics, infectious bacteria have become more and more immune to the antibiotics available today, creating so-called ""super bugs"" that are antibiotic-resistant and hard to effectively treat. Ultimately these infections may reduce the overall population lifespan again as the antibiotics we have invented are less and less effective and there is a resurgence of historical diseases that were once remedied by antibiotics.","Cancer is a relatively new phenomenon in human history. In the past, people did not live long enough for it to be a factor. Antibiotic resistance due to over reliance on medications like penicillin has resulted in the rise of drug resistant bacteria.","Antibiotic resistance is causing issues when treating certain diseases. We rely too heavily on antibiotics, which cause them to become in effective overtime. In the early days prior to discovering antibiotics, people lived short lives due to becoming sick or having infections. Now days, people rely too much on these drugs, which make them less effective. We should only use antibiotics if absolutely needed as to combat the resistance issue. A typical ear infection may become extremely difficult to treat if everyone relies on the antibiotics for ever minor ailment. ",Multiple-pathway
442,4,33,"Cancer is widely thought of as a disease caused by our newfound longevity. With the discovery of penicillin and antibiotics, people have a much longer lifespan.  The problem is that new super bugs and diseases are becoming immune to these antibiotics and penicillin.  So experts believe we should only be using antibiotics when absolutely needed.  ","Common diseases such as cancer and heart disease are a relatively new development in human beings. People used to die at younger ages due to infection rates which have been significantly lowered due to the introduction of modern antibiotics, such as penicillin. Since antibiotics were introduced, however, it has increased the lifespan of the typical person, thus allowing the overall population to live long enough to develop issues related to age such as heart disease and cancer. However, with the overuse of antibiotics, infectious bacteria have become more and more immune to the antibiotics available today, creating so-called ""super bugs"" that are antibiotic-resistant and hard to effectively treat. Ultimately these infections may reduce the overall population lifespan again as the antibiotics we have invented are less and less effective and there is a resurgence of historical diseases that were once remedied by antibiotics.","Cancer is a relatively new phenomenon in human history. In the past, people did not live long enough for it to be a factor. Antibiotic resistance due to over reliance on medications like penicillin has resulted in the rise of drug resistant bacteria.","Cancer and heart disease are relatively new phenomena in human history. Before the development of antibiotics, people typically died of infections before they reached an age at which cancer and heart disease would develop. However, due to overuse of antibiotics, superbugs, bacteria that have evolved immunity to antibiotics, are becoming more prevalent.",Multiple-pathway
443,4,33,"Cancer is widely thought of as a disease caused by our newfound longevity. With the discovery of penicillin and antibiotics, people have a much longer lifespan.  The problem is that new super bugs and diseases are becoming immune to these antibiotics and penicillin.  So experts believe we should only be using antibiotics when absolutely needed.  ","Common diseases such as cancer and heart disease are a relatively new development in human beings. People used to die at younger ages due to infection rates which have been significantly lowered due to the introduction of modern antibiotics, such as penicillin. Since antibiotics were introduced, however, it has increased the lifespan of the typical person, thus allowing the overall population to live long enough to develop issues related to age such as heart disease and cancer. However, with the overuse of antibiotics, infectious bacteria have become more and more immune to the antibiotics available today, creating so-called ""super bugs"" that are antibiotic-resistant and hard to effectively treat. Ultimately these infections may reduce the overall population lifespan again as the antibiotics we have invented are less and less effective and there is a resurgence of historical diseases that were once remedied by antibiotics.","Cancer is a relatively new phenomenon in human history. In the past, people did not live long enough for it to be a factor. Antibiotic resistance due to over reliance on medications like penicillin has resulted in the rise of drug resistant bacteria.","Antibiotics have allowed humans to live longer. Ironically, the longer life spans brought on other health problems like cancer, which is a result of people living longer. Plus the wide use of antibiotics has made them less effective to new virus strains so doctors recommend usage only when necessary.",Multiple-pathway
444,5,33,"Antibiotic resistance is causing issues when treating certain diseases. We rely too heavily on antibiotics, which cause them to become in effective overtime. In the early days prior to discovering antibiotics, people lived short lives due to becoming sick or having infections. Now days, people rely too much on these drugs, which make them less effective. We should only use antibiotics if absolutely needed as to combat the resistance issue. A typical ear infection may become extremely difficult to treat if everyone relies on the antibiotics for ever minor ailment. ","Cancer and heart disease are relatively new phenomena in human history. Before the development of antibiotics, people typically died of infections before they reached an age at which cancer and heart disease would develop. However, due to overuse of antibiotics, superbugs, bacteria that have evolved immunity to antibiotics, are becoming more prevalent.","Antibiotics have allowed humans to live longer. Ironically, the longer life spans brought on other health problems like cancer, which is a result of people living longer. Plus the wide use of antibiotics has made them less effective to new virus strains so doctors recommend usage only when necessary.","Antibiotic use has helped humans live longer, but it's brought on other issues. Before antibiotics, people tended to die earlier due to infections. Now that those can be treated, people are living long enough for cancer, heart failure and other diseases to set in. These ailments have thus been much more prevalent, since other infections aren't already killing people. Antibiotic use also breeds superbugs, germs that develop immunity to antibiotics. They evolve to the point that these drugs become ineffective, resulting in people dying from infections despite treatment.",Multiple-pathway
445,5,33,"Antibiotic resistance is causing issues when treating certain diseases. We rely too heavily on antibiotics, which cause them to become in effective overtime. In the early days prior to discovering antibiotics, people lived short lives due to becoming sick or having infections. Now days, people rely too much on these drugs, which make them less effective. We should only use antibiotics if absolutely needed as to combat the resistance issue. A typical ear infection may become extremely difficult to treat if everyone relies on the antibiotics for ever minor ailment. ","Cancer and heart disease are relatively new phenomena in human history. Before the development of antibiotics, people typically died of infections before they reached an age at which cancer and heart disease would develop. However, due to overuse of antibiotics, superbugs, bacteria that have evolved immunity to antibiotics, are becoming more prevalent.","Antibiotics have allowed humans to live longer. Ironically, the longer life spans brought on other health problems like cancer, which is a result of people living longer. Plus the wide use of antibiotics has made them less effective to new virus strains so doctors recommend usage only when necessary.","Overuse of antibiotics, although good at allowing us to live longer lives, has caused reduction of their effectiveness on certain bacteria. Although antibiotics have allowed us to survive diseases that killed us at earlier ages, they have had the effect of allowing us to age long enough to develop diseases like cancers which most likely are fatal to us. ",Multiple-pathway
446,5,33,"Antibiotic resistance is causing issues when treating certain diseases. We rely too heavily on antibiotics, which cause them to become in effective overtime. In the early days prior to discovering antibiotics, people lived short lives due to becoming sick or having infections. Now days, people rely too much on these drugs, which make them less effective. We should only use antibiotics if absolutely needed as to combat the resistance issue. A typical ear infection may become extremely difficult to treat if everyone relies on the antibiotics for ever minor ailment. ","Cancer and heart disease are relatively new phenomena in human history. Before the development of antibiotics, people typically died of infections before they reached an age at which cancer and heart disease would develop. However, due to overuse of antibiotics, superbugs, bacteria that have evolved immunity to antibiotics, are becoming more prevalent.","Antibiotics have allowed humans to live longer. Ironically, the longer life spans brought on other health problems like cancer, which is a result of people living longer. Plus the wide use of antibiotics has made them less effective to new virus strains so doctors recommend usage only when necessary.","antibiotics increase lifespan, which leads to more cancer. they also cause antibiotic resistance. use only when needed",Multiple-pathway
447,6,33,"Antibiotic use has helped humans live longer, but it's brought on other issues. Before antibiotics, people tended to die earlier due to infections. Now that those can be treated, people are living long enough for cancer, heart failure and other diseases to set in. These ailments have thus been much more prevalent, since other infections aren't already killing people. Antibiotic use also breeds superbugs, germs that develop immunity to antibiotics. They evolve to the point that these drugs become ineffective, resulting in people dying from infections despite treatment.","Overuse of antibiotics, although good at allowing us to live longer lives, has caused reduction of their effectiveness on certain bacteria. Although antibiotics have allowed us to survive diseases that killed us at earlier ages, they have had the effect of allowing us to age long enough to develop diseases like cancers which most likely are fatal to us. ","antibiotics increase lifespan, which leads to more cancer. they also cause antibiotic resistance. use only when needed","Though antibiotics have saved many lives, there have been several negative consequences of their use. Overuse of antibiotics has lead to the evolution of antibiotic-resistant pathogens. Antibiotics have also increased the human lifespan to the point where we are old enough to suffer from diseases such as cancer.",Multiple-pathway
448,6,33,"Antibiotic use has helped humans live longer, but it's brought on other issues. Before antibiotics, people tended to die earlier due to infections. Now that those can be treated, people are living long enough for cancer, heart failure and other diseases to set in. These ailments have thus been much more prevalent, since other infections aren't already killing people. Antibiotic use also breeds superbugs, germs that develop immunity to antibiotics. They evolve to the point that these drugs become ineffective, resulting in people dying from infections despite treatment.","Overuse of antibiotics, although good at allowing us to live longer lives, has caused reduction of their effectiveness on certain bacteria. Although antibiotics have allowed us to survive diseases that killed us at earlier ages, they have had the effect of allowing us to age long enough to develop diseases like cancers which most likely are fatal to us. ","antibiotics increase lifespan, which leads to more cancer. they also cause antibiotic resistance. use only when needed",Antibiotics increase lifetime which leads to cancer and resistance to the antibiotic.,Multiple-pathway
449,6,33,"Antibiotic use has helped humans live longer, but it's brought on other issues. Before antibiotics, people tended to die earlier due to infections. Now that those can be treated, people are living long enough for cancer, heart failure and other diseases to set in. These ailments have thus been much more prevalent, since other infections aren't already killing people. Antibiotic use also breeds superbugs, germs that develop immunity to antibiotics. They evolve to the point that these drugs become ineffective, resulting in people dying from infections despite treatment.","Overuse of antibiotics, although good at allowing us to live longer lives, has caused reduction of their effectiveness on certain bacteria. Although antibiotics have allowed us to survive diseases that killed us at earlier ages, they have had the effect of allowing us to age long enough to develop diseases like cancers which most likely are fatal to us. ","antibiotics increase lifespan, which leads to more cancer. they also cause antibiotic resistance. use only when needed",Germs have succummbed to overuse of antibiotics,Multiple-pathway
450,1,34,"Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.",In the past people didn't die of diseases like cancer because the sad fact was that they didn't usually live long enough to develop them. People back then died from infections caused by accidents or injury. When antibiotics were discovered in the late 1920s it was a major discovery and helped people live longer. Fast forward to today and our over use of antibiotics have caused superbugs to develop which antibiotics are ineffective against. We are somewhat back to where we started. We can do small things to find our way back like quit over using antibiotics. You don't need to take one every time you're sick.,Multiple-pathway
451,1,34,"Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Throughout history people did not die of heart disease or cancer because they died at a younger age than these diseases typically develop.  They died of injuries or infections as a result of those injuries during earlier times.  Then antibiotics were developed which were successful in treating these infections.  For many years more and more antibiotics were successfully developed to treat various infections as they surfaced.  However, we have not reached a period of time when different various bacterias are developing at a faster pace than antibiotics can be developed - and these bacteria do not respond to current antibiotics.  These bacteria are sometimes reffered to as super-bacteria because there is no viable treatment for them as relates to antibiotics.  Some are saying that it time for us to stop some current bahaviours in order to slow down the development of these super-bacterias.  Such behaviours include stopping eating of meats infused with antibiotics, stop giving our children antibiotics for infections when their immunce systems might be strong enough to fight it naturally.  By paying attention to this and taking small steps in the move away from taking antibiotics when we might not need them, we can begin to fight the battle with the super-bacteria.",Multiple-pathway
